Sample,Condition,Tracer,compound,datatype,value
P1 Trac1,PGM1-CDG,13C6 Nutrient1,Uridine diphosphate hexose,NormAbund,208530021.1
P1 Trac1,PGM1-CDG,13C6 Nutrient1,GDP-Fucose,Abund,2238725.186
P1 Trac1,PGM1-CDG,13C6 Nutrient1,GDP-Fucose,NormAbund,2238725.186
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Fructose-6-phosphate,Abund,107713976.7
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Fructose-6-phosphate,NormAbund,107713976.7
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-1-phosphate,Abund,693935379.4
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-1-phosphate,NormAbund,693935379.4
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-6-phosphate,Abund,0
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Galactose-6-phosphate,NormAbund,0
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-1-phosphate,Abund,128852301.1
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-1-phosphate,NormAbund,128852301.1
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-6-phosphate,Abund,5995827.674
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Glucose-6-phosphate,NormAbund,5995827.674
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-1-phosphate,Abund,0
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-1-phosphate,NormAbund,0
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-6-phosphate,Abund,867302.4397
P1 Trac2,PGM1-CDG,13C6 Nutrient2,Mannose-6-phosphate,NormAbund,867302.4397
P1 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 1,6-bisphosphate",Abund,8568484.978
P1 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 1,6-bisphosphate",NormAbund,8568484.978
P1 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",Abund,1395818.511
P1 Trac2,PGM1-CDG,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",NormAbund,1395818.511
P1 Trac2,PGM1-CDG,13C6 Nutrient2,"Glucose 1,6-bisphosphate",Abund,5020736.221
P1 Trac2,PGM1-CDG,13C6 Nutrient2,"Glucose 1,6-bisphosphate",NormAbund,5020736.221
